TYPE,DATE,START TIME,END TIME,USAGE (kWh),COST,NOTES
Electric usage,1/18/2025,17:45,17:59,0.03,$0.02,
Electric usage,1/18/2025,18:00,18:14,0.04,$0.02,
Electric usage,1/18/2025,18:15,18:29,0.03,$0.02,
Electric usage,1/18/2025,18:30,18:44,0.04,$0.02,
Electric usage,1/18/2025,18:45,18:59,0.07,$0.02,
Electric usage,1/18/2025,19:00,19:14,0.06,$0.07,
Electric usage,1/18/2025,19:15,19:29,0.41,$0.07,
Electric usage,1/18/2025,19:30,19:44,0.05,$0.07,
Electric usage,1/18/2025,19:45,19:59,0.07,$0.07,
Electric usage,1/18/2025,20:00,20:14,0.35,$0.13,
Electric usage,1/18/2025,20:15,20:29,0.21,$0.13,
Electric usage,1/18/2025,20:30,20:44,0.31,$0.13,
Electric usage,1/18/2025,20:45,20:59,0.19,$0.13,
Electric usage,1/18/2025,21:00,21:14,0.27,$0.10,
Electric usage,1/18/2025,21:15,21:29,0.03,$0.10,
Electric usage,1/18/2025,21:30,21:44,0.49,$0.10,
Electric usage,1/18/2025,21:45,21:59,0.04,$0.10,
Electric usage,1/18/2025,22:00,22:14,0.34,$0.09,
Electric usage,1/18/2025,22:15,22:29,0.02,$0.09,
Electric usage,1/18/2025,22:30,22:44,0.41,$0.09,
Electric usage,1/18/2025,22:45,22:59,0.03,$0.09,
Electric usage,1/18/2025,23:00,23:14,0.48,$0.11,
Electric usage,1/18/2025,23:15,23:29,0.03,$0.11,
Electric usage,1/18/2025,23:30,23:44,0.41,$0.11,
Electric usage,1/18/2025,23:45,23:59,0.03,$0.11,
Electric usage,1/19/2025,0:00,0:14,0.48,$0.14,
Electric usage,1/19/2025,0:15,0:29,0.03,$0.14,
Electric usage,1/19/2025,0:30,0:44,0.41,$0.14,
Electric usage,1/19/2025,0:45,0:59,0.33,$0.14,
Electric usage,1/19/2025,1:00,1:14,0.02,$0.10,
Electric usage,1/19/2025,1:15,1:29,0.5,$0.10,
Electric usage,1/19/2025,1:30,1:44,0.04,$0.10,
Electric usage,1/19/2025,1:45,1:59,0.34,$0.10,
Electric usage,1/19/2025,2:00,2:14,0.41,$0.15,
Electric usage,1/19/2025,2:15,2:29,0.31,$0.15,
Electric usage,1/19/2025,2:30,2:44,0.12,$0.15,
Electric usage,1/19/2025,2:45,2:59,0.41,$0.15,
Electric usage,1/19/2025,3:00,3:14,0.25,$0.13,
Electric usage,1/19/2025,3:15,3:29,0.2,$0.13,
Electric usage,1/19/2025,3:30,3:44,0.4,$0.13,
Electric usage,1/19/2025,3:45,3:59,0.24,$0.13,
Electric usage,1/19/2025,4:00,4:14,0.12,$0.12,
Electric usage,1/19/2025,4:15,4:29,0.48,$0.12,
Electric usage,1/19/2025,4:30,4:44,0.17,$0.12,
Electric usage,1/19/2025,4:45,4:59,0.27,$0.12,
Electric usage,1/19/2025,5:00,5:14,0.41,$0.11,
Electric usage,1/19/2025,5:15,5:29,0.02,$0.11,
Electric usage,1/19/2025,5:30,5:44,0.48,$0.11,
Electric usage,1/19/2025,5:45,5:59,0.03,$0.11,
Electric usage,1/19/2025,6:00,6:14,0.34,$0.14,
Electric usage,1/19/2025,6:15,6:29,0.41,$0.14,
Electric usage,1/19/2025,6:30,6:44,0.03,$0.14,
Electric usage,1/19/2025,6:45,6:59,0.41,$0.14,
Electric usage,1/19/2025,7:00,7:14,0.31,$0.14,
Electric usage,1/19/2025,7:15,7:29,0.19,$0.14,
Electric usage,1/19/2025,7:30,7:44,0.21,$0.14,
Electric usage,1/19/2025,7:45,7:59,0.47,$0.14,
Electric usage,1/19/2025,8:00,8:14,0.02,$0.11,
Electric usage,1/19/2025,8:15,8:29,0.49,$0.11,
Electric usage,1/19/2025,8:30,8:44,0.03,$0.11,
Electric usage,1/19/2025,8:45,8:59,0.41,$0.11,
Electric usage,1/19/2025,9:00,9:14,0.02,$0.11,
Electric usage,1/19/2025,9:15,9:29,0.48,$0.11,
Electric usage,1/19/2025,9:30,9:44,0.04,$0.11,
Electric usage,1/19/2025,9:45,9:59,0.38,$0.11,
Electric usage,1/19/2025,10:00,10:14,0.19,$0.10,
Electric usage,1/19/2025,10:15,10:29,0.03,$0.10,
Electric usage,1/19/2025,10:30,10:44,0.41,$0.10,
Electric usage,1/19/2025,10:45,10:59,0.24,$0.10,
Electric usage,1/19/2025,11:00,11:14,0.13,$0.07,
Electric usage,1/19/2025,11:15,11:29,0.03,$0.07,
Electric usage,1/19/2025,11:30,11:44,0.41,$0.07,
Electric usage,1/19/2025,11:45,11:59,0.03,$0.07,
Electric usage,1/19/2025,12:00,12:14,0.25,$0.12,
Electric usage,1/19/2025,12:15,12:29,0.31,$0.12,
Electric usage,1/19/2025,12:30,12:44,0.02,$0.12,
Electric usage,1/19/2025,12:45,12:59,0.48,$0.12,
Electric usage,1/19/2025,13:00,13:14,0.03,$0.06,
Electric usage,1/19/2025,13:15,13:29,0.02,$0.06,
Electric usage,1/19/2025,13:30,13:44,0.02,$0.06,
Electric usage,1/19/2025,13:45,13:59,0.48,$0.06,
Electric usage,1/19/2025,14:00,14:14,0.03,$0.05,
Electric usage,1/19/2025,14:15,14:29,0.02,$0.05,
Electric usage,1/19/2025,14:30,14:44,0.02,$0.05,
Electric usage,1/19/2025,14:45,14:59,0.38,$0.05,
Electric usage,1/19/2025,15:00,15:14,0.05,$0.12,
Electric usage,1/19/2025,15:15,15:29,0.08,$0.12,
Electric usage,1/19/2025,15:30,15:44,0.62,$0.12,
Electric usage,1/19/2025,15:45,15:59,0.29,$0.12,
Electric usage,1/19/2025,16:00,16:14,0.28,$0.19,
Electric usage,1/19/2025,16:15,16:29,0.7,$0.19,
Electric usage,1/19/2025,16:30,16:44,0.28,$0.19,
Electric usage,1/19/2025,16:45,16:59,0.27,$0.19,
Electric usage,1/19/2025,17:00,17:14,0.59,$0.23,
Electric usage,1/19/2025,17:15,17:29,0.47,$0.23,
Electric usage,1/19/2025,17:30,17:44,0.51,$0.23,
Electric usage,1/19/2025,17:45,17:59,0.27,$0.23,
Electric usage,1/19/2025,18:00,18:14,0.58,$0.23,
Electric usage,1/19/2025,18:15,18:29,0.28,$0.23,
Electric usage,1/19/2025,18:30,18:44,0.72,$0.23,
Electric usage,1/19/2025,18:45,18:59,0.31,$0.23,
Electric usage,1/19/2025,19:00,19:14,0.74,$0.24,
Electric usage,1/19/2025,19:15,19:29,0.28,$0.24,
Electric usage,1/19/2025,19:30,19:44,0.66,$0.24,
Electric usage,1/19/2025,19:45,19:59,0.31,$0.24,
Electric usage,1/19/2025,20:00,20:14,0.75,$0.28,
Electric usage,1/19/2025,20:15,20:29,0.28,$0.28,
Electric usage,1/19/2025,20:30,20:44,0.68,$0.28,
Electric usage,1/19/2025,20:45,20:59,0.55,$0.28,
Electric usage,1/19/2025,21:00,21:14,0.72,$0.22,
Electric usage,1/19/2025,21:15,21:29,0.3,$0.22,
Electric usage,1/19/2025,21:30,21:44,0.56,$0.22,
Electric usage,1/19/2025,21:45,21:59,0.29,$0.22,
Electric usage,1/19/2025,22:00,22:14,0.76,$0.26,
Electric usage,1/19/2025,22:15,22:29,0.3,$0.26,
Electric usage,1/19/2025,22:30,22:44,0.68,$0.26,
Electric usage,1/19/2025,22:45,22:59,0.48,$0.26,
Electric usage,1/19/2025,23:00,23:14,0.43,$0.22,
Electric usage,1/19/2025,23:15,23:29,0.74,$0.22,
Electric usage,1/19/2025,23:30,23:44,0.26,$0.22,
Electric usage,1/19/2025,23:45,23:59,0.45,$0.22,
Electric usage,1/20/2025,0:00,0:14,0.72,$0.37,
Electric usage,1/20/2025,0:15,0:29,0.89,$0.37,
Electric usage,1/20/2025,0:30,0:44,0.78,$0.37,
Electric usage,1/20/2025,0:45,0:59,0.82,$0.37,
Electric usage,1/20/2025,1:00,1:14,0.29,$0.26,
Electric usage,1/20/2025,1:15,1:29,0.76,$0.26,
Electric usage,1/20/2025,1:30,1:44,0.87,$0.26,
Electric usage,1/20/2025,1:45,1:59,0.34,$0.26,
Electric usage,1/20/2025,2:00,2:14,0.71,$0.26,
Electric usage,1/20/2025,2:15,2:29,0.41,$0.26,
Electric usage,1/20/2025,2:30,2:44,0.51,$0.26,
Electric usage,1/20/2025,2:45,2:59,0.65,$0.26,
Electric usage,1/20/2025,3:00,3:14,0.34,$0.24,
Electric usage,1/20/2025,3:15,3:29,0.58,$0.24,
Electric usage,1/20/2025,3:30,3:44,0.91,$0.24,
Electric usage,1/20/2025,3:45,3:59,0.27,$0.24,
Electric usage,1/20/2025,4:00,4:14,0.65,$0.26,
Electric usage,1/20/2025,4:15,4:29,0.63,$0.26,
Electric usage,1/20/2025,4:30,4:44,0.37,$0.26,
Electric usage,1/20/2025,4:45,4:59,0.65,$0.26,
Electric usage,1/20/2025,5:00,5:14,0.48,$0.26,
Electric usage,1/20/2025,5:15,5:29,0.54,$0.26,
Electric usage,1/20/2025,5:30,5:44,0.58,$0.26,
Electric usage,1/20/2025,5:45,5:59,0.64,$0.26,
Electric usage,1/20/2025,6:00,6:14,1.08,$0.30,
Electric usage,1/20/2025,6:15,6:29,0.27,$0.30,
Electric usage,1/20/2025,6:30,6:44,0.83,$0.30,
Electric usage,1/20/2025,6:45,6:59,0.44,$0.30,
Electric usage,1/20/2025,7:00,7:14,0.48,$0.29,
Electric usage,1/20/2025,7:15,7:29,0.72,$0.29,
Electric usage,1/20/2025,7:30,7:44,0.64,$0.29,
Electric usage,1/20/2025,7:45,7:59,0.65,$0.29,
Electric usage,1/20/2025,8:00,8:14,0.12,$0.17,
Electric usage,1/20/2025,8:15,8:29,0.42,$0.17,
Electric usage,1/20/2025,8:30,8:44,0.28,$0.17,
Electric usage,1/20/2025,8:45,8:59,0.65,$0.17,
Electric usage,1/20/2025,9:00,9:14,0.03,$0.04,
Electric usage,1/20/2025,9:15,9:29,0.02,$0.04,
Electric usage,1/20/2025,9:30,9:44,0.22,$0.04,
Electric usage,1/20/2025,9:45,9:59,0.12,$0.04,
Electric usage,1/20/2025,10:00,10:14,0.06,$0.07,
Electric usage,1/20/2025,10:15,10:29,0.06,$0.07,
Electric usage,1/20/2025,10:30,10:44,0.03,$0.07,
Electric usage,1/20/2025,10:45,10:59,0.42,$0.07,
Electric usage,1/20/2025,11:00,11:14,0.02,$0.01,
Electric usage,1/20/2025,11:15,11:29,0.03,$0.01,
Electric usage,1/20/2025,11:30,11:44,0.03,$0.01,
Electric usage,1/20/2025,11:45,11:59,0.02,$0.01,
Electric usage,1/20/2025,12:00,12:14,0.03,$0.01,
Electric usage,1/20/2025,12:15,12:29,0.03,$0.01,
Electric usage,1/20/2025,12:30,12:44,0.02,$0.01,
Electric usage,1/20/2025,12:45,12:59,0.02,$0.01,
Electric usage,1/20/2025,13:00,13:14,0.03,$0.02,
Electric usage,1/20/2025,13:15,13:29,0.03,$0.02,
Electric usage,1/20/2025,13:30,13:44,0.02,$0.02,
Electric usage,1/20/2025,13:45,13:59,0.13,$0.02,
Electric usage,1/20/2025,14:00,14:14,0.94,$0.37,
Electric usage,1/20/2025,14:15,14:29,0.8,$0.37,
Electric usage,1/20/2025,14:30,14:44,0.83,$0.37,
Electric usage,1/20/2025,14:45,14:59,0.61,$0.37,
Electric usage,1/20/2025,15:00,15:14,0.54,$0.29,
Electric usage,1/20/2025,15:15,15:29,0.99,$0.29,
Electric usage,1/20/2025,15:30,15:44,0.36,$0.29,
Electric usage,1/20/2025,15:45,15:59,0.62,$0.29,
Electric usage,1/20/2025,16:00,16:14,0.32,$0.08,
Electric usage,1/20/2025,16:15,16:29,0.26,$0.08,
Electric usage,1/20/2025,16:30,16:44,0.03,$0.08,
Electric usage,1/20/2025,16:45,16:59,0.03,$0.08,
Electric usage,1/20/2025,17:00,17:14,0.03,$0.02,
Electric usage,1/20/2025,17:15,17:29,0.03,$0.02,
Electric usage,1/20/2025,17:30,17:44,0.04,$0.02,
Electric usage,1/20/2025,17:45,17:59,0.04,$0.02,
Electric usage,1/20/2025,18:00,18:14,0.03,$0.03,
Electric usage,1/20/2025,18:15,18:29,0.06,$0.03,
Electric usage,1/20/2025,18:30,18:44,0.07,$0.03,
Electric usage,1/20/2025,18:45,18:59,0.07,$0.03,
Electric usage,1/20/2025,19:00,19:14,0.04,$0.02,
Electric usage,1/20/2025,19:15,19:29,0.05,$0.02,
Electric usage,1/20/2025,19:30,19:44,0.05,$0.02,
Electric usage,1/20/2025,19:45,19:59,0.04,$0.02,
Electric usage,1/20/2025,20:00,20:14,0.06,$0.02,
Electric usage,1/20/2025,20:15,20:29,0.05,$0.02,
Electric usage,1/20/2025,20:30,20:44,0.04,$0.02,
Electric usage,1/20/2025,20:45,20:59,0.03,$0.02,
Electric usage,1/20/2025,21:00,21:14,0.42,$0.11,
Electric usage,1/20/2025,21:15,21:29,0.04,$0.11,
Electric usage,1/20/2025,21:30,21:44,0.34,$0.11,
Electric usage,1/20/2025,21:45,21:59,0.12,$0.11,
Electric usage,1/20/2025,22:00,22:14,0.04,$0.06,
Electric usage,1/20/2025,22:15,22:29,0.46,$0.06,
Electric usage,1/20/2025,22:30,22:44,0.03,$0.06,
Electric usage,1/20/2025,22:45,22:59,0.03,$0.06,
Electric usage,1/20/2025,23:00,23:14,0.28,$0.09,
Electric usage,1/20/2025,23:15,23:29,0.09,$0.09,
Electric usage,1/20/2025,23:30,23:44,0.41,$0.09,
Electric usage,1/20/2025,23:45,23:59,0.03,$0.09,
Electric usage,1/21/2025,0:00,0:14,0.46,$0.11,
Electric usage,1/21/2025,0:15,0:29,0.02,$0.11,
Electric usage,1/21/2025,0:30,0:44,0.48,$0.11,
Electric usage,1/21/2025,0:45,0:59,0.03,$0.11,
Electric usage,1/21/2025,1:00,1:14,0.47,$0.12,
Electric usage,1/21/2025,1:15,1:29,0.03,$0.12,
Electric usage,1/21/2025,1:30,1:44,0.46,$0.12,
Electric usage,1/21/2025,1:45,1:59,0.05,$0.12,
Electric usage,1/21/2025,2:00,2:14,0.47,$0.12,
Electric usage,1/21/2025,2:15,2:29,0.03,$0.12,
Electric usage,1/21/2025,2:30,2:44,0.46,$0.12,
Electric usage,1/21/2025,2:45,2:59,0.04,$0.12,
Electric usage,1/21/2025,3:00,3:14,0.48,$0.12,
Electric usage,1/21/2025,3:15,3:29,0.03,$0.12,
Electric usage,1/21/2025,3:30,3:44,0.48,$0.12,
Electric usage,1/21/2025,3:45,3:59,0.04,$0.12,
Electric usage,1/21/2025,4:00,4:14,0.55,$0.16,
Electric usage,1/21/2025,4:15,4:29,0.03,$0.16,
Electric usage,1/21/2025,4:30,4:44,0.47,$0.16,
Electric usage,1/21/2025,4:45,4:59,0.31,$0.16,
Electric usage,1/21/2025,5:00,5:14,0.2,$0.11,
Electric usage,1/21/2025,5:15,5:29,0.26,$0.11,
Electric usage,1/21/2025,5:30,5:44,0.39,$0.11,
Electric usage,1/21/2025,5:45,5:59,0.13,$0.11,
Electric usage,1/21/2025,6:00,6:14,0.56,$0.15,
Electric usage,1/21/2025,6:15,6:29,0.1,$0.15,
Electric usage,1/21/2025,6:30,6:44,0.4,$0.15,
Electric usage,1/21/2025,6:45,6:59,0.25,$0.15,
Electric usage,1/21/2025,7:00,7:14,0.27,$0.19,
Electric usage,1/21/2025,7:15,7:29,0.63,$0.19,
Electric usage,1/21/2025,7:30,7:44,0.24,$0.19,
Electric usage,1/21/2025,7:45,7:59,0.51,$0.19,
Electric usage,1/21/2025,8:00,8:14,0.07,$0.07,
Electric usage,1/21/2025,8:15,8:29,0.06,$0.07,
Electric usage,1/21/2025,8:30,8:44,0.44,$0.07,
Electric usage,1/21/2025,8:45,8:59,0.05,$0.07,
Electric usage,1/21/2025,9:00,9:14,0.05,$0.06,
Electric usage,1/21/2025,9:15,9:29,0.39,$0.06,
Electric usage,1/21/2025,9:30,9:44,0.06,$0.06,
Electric usage,1/21/2025,9:45,9:59,0.05,$0.06,
Electric usage,1/21/2025,10:00,10:14,0.06,$0.03,
Electric usage,1/21/2025,10:15,10:29,0.06,$0.03,
Electric usage,1/21/2025,10:30,10:44,0.05,$0.03,
Electric usage,1/21/2025,10:45,10:59,0.05,$0.03,
Electric usage,1/21/2025,11:00,11:14,0.06,$0.03,
Electric usage,1/21/2025,11:15,11:29,0.06,$0.03,
Electric usage,1/21/2025,11:30,11:44,0.05,$0.03,
Electric usage,1/21/2025,11:45,11:59,0.06,$0.03,
Electric usage,1/21/2025,12:00,12:14,0.06,$0.03,
Electric usage,1/21/2025,12:15,12:29,0.05,$0.03,
Electric usage,1/21/2025,12:30,12:44,0.05,$0.03,
Electric usage,1/21/2025,12:45,12:59,0.06,$0.03,
Electric usage,1/21/2025,13:00,13:14,0.06,$0.03,
Electric usage,1/21/2025,13:15,13:29,0.05,$0.03,
Electric usage,1/21/2025,13:30,13:44,0.06,$0.03,
Electric usage,1/21/2025,13:45,13:59,0.06,$0.03,
Electric usage,1/21/2025,14:00,14:14,0.05,$0.03,
Electric usage,1/21/2025,14:15,14:29,0.05,$0.03,
Electric usage,1/21/2025,14:30,14:44,0.06,$0.03,
Electric usage,1/21/2025,14:45,14:59,0.06,$0.03,
Electric usage,1/21/2025,15:00,15:14,0.05,$0.03,
Electric usage,1/21/2025,15:15,15:29,0.06,$0.03,
Electric usage,1/21/2025,15:30,15:44,0.06,$0.03,
Electric usage,1/21/2025,15:45,15:59,0.05,$0.03,
Electric usage,1/21/2025,16:00,16:14,0.05,$0.03,
Electric usage,1/21/2025,16:15,16:29,0.06,$0.03,
Electric usage,1/21/2025,16:30,16:44,0.06,$0.03,
Electric usage,1/21/2025,16:45,16:59,0.05,$0.03,
Electric usage,1/21/2025,17:00,17:14,0.04,$0.02,
Electric usage,1/21/2025,17:15,17:29,0.05,$0.02,
Electric usage,1/21/2025,17:30,17:44,0.05,$0.02,
Electric usage,1/21/2025,17:45,17:59,0.04,$0.02,
Electric usage,1/21/2025,18:00,18:14,0.19,$0.29,
Electric usage,1/21/2025,18:15,18:29,0.92,$0.29,
Electric usage,1/21/2025,18:30,18:44,0.7,$0.29,
Electric usage,1/21/2025,18:45,18:59,0.54,$0.29,
Electric usage,1/21/2025,19:00,19:14,0.31,$0.05,
Electric usage,1/21/2025,19:15,19:29,0.04,$0.05,
Electric usage,1/21/2025,19:30,19:44,0.04,$0.05,
Electric usage,1/21/2025,19:45,19:59,0.05,$0.05,
Electric usage,1/21/2025,20:00,20:14,0.04,$0.07,
Electric usage,1/21/2025,20:15,20:29,0.06,$0.07,
Electric usage,1/21/2025,20:30,20:44,0.16,$0.07,
Electric usage,1/21/2025,20:45,20:59,0.31,$0.07,
Electric usage,1/21/2025,21:00,21:14,0.11,$0.08,
Electric usage,1/21/2025,21:15,21:29,0.4,$0.08,
Electric usage,1/21/2025,21:30,21:44,0.15,$0.08,
Electric usage,1/21/2025,21:45,21:59,0.06,$0.08,
Electric usage,1/21/2025,22:00,22:14,0.25,$0.07,
Electric usage,1/21/2025,22:15,22:29,0.22,$0.07,
Electric usage,1/21/2025,22:30,22:44,0.07,$0.07,
Electric usage,1/21/2025,22:45,22:59,0.06,$0.07,
Electric usage,1/21/2025,23:00,23:14,0.41,$0.10,
Electric usage,1/21/2025,23:15,23:29,0.03,$0.10,
Electric usage,1/21/2025,23:30,23:44,0.41,$0.10,
Electric usage,1/21/2025,23:45,23:59,0.03,$0.10,
Electric usage,1/22/2025,0:00,0:14,0.29,$0.13,
Electric usage,1/22/2025,0:15,0:29,0.4,$0.13,
Electric usage,1/22/2025,0:30,0:44,0.11,$0.13,
Electric usage,1/22/2025,0:45,0:59,0.32,$0.13,
Electric usage,1/22/2025,1:00,1:14,0.4,$0.12,
Electric usage,1/22/2025,1:15,1:29,0.03,$0.12,
Electric usage,1/22/2025,1:30,1:44,0.4,$0.12,
Electric usage,1/22/2025,1:45,1:59,0.23,$0.12,
Electric usage,1/22/2025,2:00,2:14,0.19,$0.14,
Electric usage,1/22/2025,2:15,2:29,0.48,$0.14,
Electric usage,1/22/2025,2:30,2:44,0.04,$0.14,
Electric usage,1/22/2025,2:45,2:59,0.47,$0.14,
Electric usage,1/22/2025,3:00,3:14,0.4,$0.14,
Electric usage,1/22/2025,3:15,3:29,0.03,$0.14,
Electric usage,1/22/2025,3:30,3:44,0.4,$0.14,
Electric usage,1/22/2025,3:45,3:59,0.37,$0.14,
Electric usage,1/22/2025,4:00,4:14,0.12,$0.12,
Electric usage,1/22/2025,4:15,4:29,0.41,$0.12,
Electric usage,1/22/2025,4:30,4:44,0.17,$0.12,
Electric usage,1/22/2025,4:45,4:59,0.32,$0.12,
Electric usage,1/22/2025,5:00,5:14,0.47,$0.13,
Electric usage,1/22/2025,5:15,5:29,0.03,$0.13,
Electric usage,1/22/2025,5:30,5:44,0.47,$0.13,
Electric usage,1/22/2025,5:45,5:59,0.19,$0.13,
Electric usage,1/22/2025,6:00,6:14,0.54,$0.17,
Electric usage,1/22/2025,6:15,6:29,0.06,$0.17,
Electric usage,1/22/2025,6:30,6:44,0.39,$0.17,
Electric usage,1/22/2025,6:45,6:59,0.45,$0.17,
Electric usage,1/22/2025,7:00,7:14,0.05,$0.13,
Electric usage,1/22/2025,7:15,7:29,0.51,$0.13,
Electric usage,1/22/2025,7:30,7:44,0.1,$0.13,
Electric usage,1/22/2025,7:45,7:59,0.45,$0.13,
Electric usage,1/22/2025,8:00,8:14,0.04,$0.07,
Electric usage,1/22/2025,8:15,8:29,0.48,$0.07,
Electric usage,1/22/2025,8:30,8:44,0.04,$0.07,
Electric usage,1/22/2025,8:45,8:59,0.03,$0.07,
Electric usage,1/22/2025,9:00,9:14,0.03,$0.06,
Electric usage,1/22/2025,9:15,9:29,0.03,$0.06,
Electric usage,1/22/2025,9:30,9:44,0.43,$0.06,
Electric usage,1/22/2025,9:45,9:59,0.03,$0.06,
Electric usage,1/22/2025,10:00,10:14,0.02,$0.01,
Electric usage,1/22/2025,10:15,10:29,0.03,$0.01,
Electric usage,1/22/2025,10:30,10:44,0.03,$0.01,
Electric usage,1/22/2025,10:45,10:59,0.03,$0.01,
Electric usage,1/22/2025,11:00,11:14,0.03,$0.01,
Electric usage,1/22/2025,11:15,11:29,0.03,$0.01,
Electric usage,1/22/2025,11:30,11:44,0.03,$0.01,
Electric usage,1/22/2025,11:45,11:59,0.02,$0.01,
Electric usage,1/22/2025,12:00,12:14,0.03,$0.01,
Electric usage,1/22/2025,12:15,12:29,0.03,$0.01,
Electric usage,1/22/2025,12:30,12:44,0.03,$0.01,
Electric usage,1/22/2025,12:45,12:59,0.03,$0.01,
Electric usage,1/22/2025,13:00,13:14,0.03,$0.01,
Electric usage,1/22/2025,13:15,13:29,0.03,$0.01,
Electric usage,1/22/2025,13:30,13:44,0.02,$0.01,
Electric usage,1/22/2025,13:45,13:59,0.03,$0.01,
Electric usage,1/22/2025,14:00,14:14,0.03,$0.01,
Electric usage,1/22/2025,14:15,14:29,0.02,$0.01,
Electric usage,1/22/2025,14:30,14:44,0.03,$0.01,
Electric usage,1/22/2025,14:45,14:59,0.03,$0.01,
Electric usage,1/22/2025,15:00,15:14,0.03,$0.01,
Electric usage,1/22/2025,15:15,15:29,0.02,$0.01,
Electric usage,1/22/2025,15:30,15:44,0.03,$0.01,
Electric usage,1/22/2025,15:45,15:59,0.03,$0.01,
Electric usage,1/22/2025,16:00,16:14,0.04,$0.03,
Electric usage,1/22/2025,16:15,16:29,0.02,$0.03,
Electric usage,1/22/2025,16:30,16:44,0.05,$0.03,
Electric usage,1/22/2025,16:45,16:59,0.16,$0.03,
Electric usage,1/22/2025,17:00,17:14,0.14,$0.06,
Electric usage,1/22/2025,17:15,17:29,0.13,$0.06,
Electric usage,1/22/2025,17:30,17:44,0.13,$0.06,
Electric usage,1/22/2025,17:45,17:59,0.13,$0.06,
Electric usage,1/22/2025,18:00,18:14,0.13,$0.07,
Electric usage,1/22/2025,18:15,18:29,0.13,$0.07,
Electric usage,1/22/2025,18:30,18:44,0.12,$0.07,
Electric usage,1/22/2025,18:45,18:59,0.18,$0.07,
Electric usage,1/22/2025,19:00,19:14,0.05,$0.02,
Electric usage,1/22/2025,19:15,19:29,0.05,$0.02,
Electric usage,1/22/2025,19:30,19:44,0.03,$0.02,
Electric usage,1/22/2025,19:45,19:59,0.03,$0.02,
Electric usage,1/22/2025,20:00,20:14,0.05,$0.02,
Electric usage,1/22/2025,20:15,20:29,0.04,$0.02,
Electric usage,1/22/2025,20:30,20:44,0.04,$0.02,
Electric usage,1/22/2025,20:45,20:59,0.06,$0.02,
Electric usage,1/22/2025,21:00,21:14,0.05,$0.02,
Electric usage,1/22/2025,21:15,21:29,0.04,$0.02,
Electric usage,1/22/2025,21:30,21:44,0.03,$0.02,
Electric usage,1/22/2025,21:45,21:59,0.04,$0.02,
Electric usage,1/22/2025,22:00,22:14,0.05,$0.02,
Electric usage,1/22/2025,22:15,22:29,0.05,$0.02,
Electric usage,1/22/2025,22:30,22:44,0.05,$0.02,
Electric usage,1/22/2025,22:45,22:59,0.06,$0.02,
Electric usage,1/22/2025,23:00,23:14,0.36,$0.09,
Electric usage,1/22/2025,23:15,23:29,0.03,$0.09,
Electric usage,1/22/2025,23:30,23:44,0.11,$0.09,
Electric usage,1/22/2025,23:45,23:59,0.3,$0.09,
Electric usage,1/23/2025,0:00,0:14,0.02,$0.04,
Electric usage,1/23/2025,0:15,0:29,0.03,$0.04,
Electric usage,1/23/2025,0:30,0:44,0.35,$0.04,
Electric usage,1/23/2025,0:45,0:59,0.03,$0.04,
Electric usage,1/23/2025,1:00,1:14,0.44,$0.08,
Electric usage,1/23/2025,1:15,1:29,0.03,$0.08,
Electric usage,1/23/2025,1:30,1:44,0.37,$0.08,
Electric usage,1/23/2025,1:45,1:59,0.02,$0.08,
Electric usage,1/23/2025,2:00,2:14,0.42,$0.08,
Electric usage,1/23/2025,2:15,2:29,0.03,$0.08,
Electric usage,1/23/2025,2:30,2:44,0.22,$0.08,
Electric usage,1/23/2025,2:45,2:59,0.23,$0.08,
Electric usage,1/23/2025,3:00,3:14,0.03,$0.07,
Electric usage,1/23/2025,3:15,3:29,0.28,$0.07,
Electric usage,1/23/2025,3:30,3:44,0.42,$0.07,
Electric usage,1/23/2025,3:45,3:59,0.02,$0.07,
Electric usage,1/23/2025,4:00,4:14,0.43,$0.08,
Electric usage,1/23/2025,4:15,4:29,0.03,$0.08,
Electric usage,1/23/2025,4:30,4:44,0.45,$0.08,
Electric usage,1/23/2025,4:45,4:59,0.03,$0.08,
Electric usage,1/23/2025,5:00,5:14,0.37,$0.08,
Electric usage,1/23/2025,5:15,5:29,0.02,$0.08,
Electric usage,1/23/2025,5:30,5:44,0.3,$0.08,
Electric usage,1/23/2025,5:45,5:59,0.16,$0.08,
Electric usage,1/23/2025,6:00,6:14,0.31,$0.10,
Electric usage,1/23/2025,6:15,6:29,0.27,$0.10,
Electric usage,1/23/2025,6:30,6:44,0.11,$0.10,
Electric usage,1/23/2025,6:45,6:59,0.43,$0.10,
Electric usage,1/23/2025,7:00,7:14,0.02,$0.05,
Electric usage,1/23/2025,7:15,7:29,0.33,$0.05,
Electric usage,1/23/2025,7:30,7:44,0.11,$0.05,
Electric usage,1/23/2025,7:45,7:59,0.06,$0.05,
Electric usage,1/23/2025,8:00,8:14,0.02,$0.01,
Electric usage,1/23/2025,8:15,8:29,0.03,$0.01,
Electric usage,1/23/2025,8:30,8:44,0.03,$0.01,
Electric usage,1/23/2025,8:45,8:59,0.02,$0.01,
Electric usage,1/23/2025,9:00,9:14,0.02,$0.01,
Electric usage,1/23/2025,9:15,9:29,0.03,$0.01,
Electric usage,1/23/2025,9:30,9:44,0.04,$0.01,
Electric usage,1/23/2025,9:45,9:59,0.04,$0.01,
Electric usage,1/23/2025,10:00,10:14,0.04,$0.01,
